id,title,genre_0,genre_1,year_norm,rating_norm,duration_norm
0,Movie_0,0.2,0.8,0.49,0.89,0.12
1,Movie_1,0.81,0.19,0.03,0.59,0.6
2,Movie_2,0.18,0.82,0.64,0.53,0.18
3,Movie_3,0.27,0.73,0.32,0.27,0.02
4,Movie_4,0.64,0.36,0.37,0.62,0.03
5,Movie_5,0.0,1.0,0.17,0.09,0.71
6,Movie_6,0.86,0.14,0.71,0.02,0.89
7,Movie_7,0.19,0.81,0.73,0.36,0.08
8,Movie_8,0.97,0.03,0.35,0.78,0.83
9,Movie_9,0.51,0.49,0.63,0.66,0.88
10,Movie_10,0.64,0.36,0.36,0.97,0.51
11,Movie_11,1.0,0.0,0.96,0.76,0.52
12,Movie_12,0.95,0.05,0.97,0.28,0.44
13,Movie_13,0.56,0.44,0.97,0.09,0.67
14,Movie_14,0.78,0.22,0.29,0.72,0.84
15,Movie_15,0.58,0.42,0.76,0.68,0.23
16,Movie_16,0.12,0.88,0.31,0.8,0.76
17,Movie_17,0.63,0.37,0.55,0.67,0.74
18,Movie_18,0.74,0.26,0.33,0.58,0.12
19,Movie_19,0.18,0.82,0.16,0.43,0.81
